,index,NO,song,group,lyrics
10,10,7,Tell Me Your Wish (Genie) (song),Girls-Generation,thats right come on me your wish tell me that small dream you hae within you that ideal person you hae inside your head and then look at me im your genie your dream your genie get in your dream car and speed off youre sitting next to me just throw eerything into my guidance if your oerwhelmed heart was to explode een if it all flies away in the wind right now this moment the world is yours yes i loe you you can always beliee in me dreams passions i want to gie them all to you im a goddess of fortune that wants to make your wishes come true tell me your wish im genie for you boy on tell me your wish im genie for your wish tell me your wish im genie for your dream tell it only to me im genie for your world me your wish arent you tired of the boring days ah you become buried by your ordinary life now stop and wake up you are my superstar shining star superstar its like a trembling beating of your heart release your body into the harley now this world is simply your stage woah that sound like cheers in my heart your body temperature neo im your path foreer your biggest fan yes i loe you you can always beliee in me beliee in you dreams passions i want to gie them all to you im a goddess of fortune make it happen that wants to make your wishes come true tell me your wish im genie for you boy on tell me your wish im genie for your wish on tell me your wish im genie for your dream tell it only to me im genie for your world tell me your wish tell me what you need tell me what you hope dj put it back on yes i loe you you can always beliee in me dreams passions i want to gie them all to you want to im a goddess of fortune that wants to make your wishes come true soweoneul malhae bwa me all your fantasies yes i loe you youre my music show you the genies path i loe you youre my joy me all your wishes i loe you i want to become your genie will grant them your luck tell me your wish im genie for you boy tell me your wish im genie for your wish baby tell me your wish im genie for your dream aha tell it only to me im genie for your world tell me your wish im genie for you boy tell me your wish im genie for your wish
11,11,8,Oh! (song),Girls-Generation,im not the person you knew before brand new sound with the new me one more round dance dance dance till we run this town oppa oppa ill be ill be down down down down hey oppa look at me just take a look at me its the first time ie spoken like this i fixed my hair and put on makeup too why do you only not notice me thump thump my heart is beating i just continue imagining what should i do haing been so proud i just want to tell you oh oh oh oh oppa i loe you ah ah ah ah a lot a lot its embarrassing so dont laugh its the truth so dont make fun either im just saying stupid things again im not the person you knew before brand new sound with the new me one more round dance dance dance till we run this town oppa oppa ill be ill be down down down down oppa just listen to me stop saying other things dont think of me just as a younger sister youll regret after a year you dont know my thoughts at all you dont realize and just joke around what should i do you immature person just listen to me  oh oh oh oh oppa i loe you ah ah ah ah a lot a lot its embarrassing so dont laugh its the truth so dont make fun either if you do that again i might just cry im not the person you knew before brand new sound something about my heart is different today down down dont put it off i just get mad oppa oppa if you keep this up no no no no tell me boy boy loe it it it it it it it ah oh oh oh oh oppa i loe you ah ah ah ah a lot a lot oh oh oh oh oh oh oh oh oppa i loe you ah ah ah ah ah ah ah ah a lot a lot im just saying stupid things again oh oh oh oh ah ah ah ah oh oh oh oh oh oh oh oh oppa i loe you ah ah ah ah ah ah ah ah a lot a lot oh oh oh oh oh oh oh oh oppa i loe you ah ah ah ah ah ah ah ah a lot a lot oh
12,12,9,Way to Go!,Girls-Generation,can you tell me to find strength can you raise me up by sparkling your eyes eeryone wants it faster and more oh but im just an ordinary girl the wind moes freely but i dont know where eeryone is but hae strength wee made it this far this is really nothing at all lets change this world filled with things beyond apprehension this complicated world is exciting because of one reason yes its you can you tell me that you loe me can you embrace me and laugh together eeryone wants it faster and more oh but im just an ordinary girl the sky is so blue but i dont know where eeryone is heading but hae strength wee made it this far this is really nothing at all lets change this world filled with things beyond apprehension this complicated world is exciting because of one reason its you i like just the way you are you set me free set me free my boy eer since you showed up ie been changed eerything has changed from now on lets start again alright hae strength wee made it this far this is really nothing at all the world has changed filled with things beyond apprehension this complicated world is exciting because of one reason yes its you ready for your loe really nothing at all filled with things beyond apprehension this complicated world is exciting because of one reason its you
13,13,10,Kissing You (song),Girls-Generation,tuturu tututu kissing you baby tuturu tututu loing you baby i feel happy with your joking kiss een if you hae a cute and innocent expression without knowing like a lady my lips are calling your name we walk while matching our feet holding our hands i want to lean on your shoulder and tell you thanks i loe you i will gie you happiness kissing you oh my loe tomorrow you are lying next to me in the wa sun then i sing you a loe song you smile sweet happy words of loe tuturu tututu kissing you baby tuturu tututu loing you baby when i kiss you while closing my eyes my cheeks turn red i hae already fallen for you in my chest you can hear my heart beating we walk while matching our feet holding our hands i want to lean on your shoulder and tell you thanks i loe you i will gie you happiness kissing you oh my loe tomorrow you are lying next to me in the wa sun then i sing you a loe song you smile sweet happy words of loe i loe you i loe you i loe only you as much as heaen i will always make you happy and smile ill promise you a precious girlfriend you stay next to me and in my eyes i will always be in your as i will be we walk while matching our feet holding our hands i want to lean on your shoulder and tell you thanks i loe you i will gie you happiness kissing you oh my loe tomorrow you are lying next to me in the wa sun then i sing you a loe song you smile sweet happy words of loe sweet happy of loe words of loe
14,14,2,That That (Prod. & Feat. SUGA of BTS),BTS,long time no see huh its been a minute huh were back to laughing crying liing loing lets get loco pandemics oer uh yeah feeling amazing uh the ibes are coming uh eerybody say been aching all oer for gotta scratch the itch for them crowded streets gotta loe this hustle and bustle north south east west ayy gangnam gangbuk ayy eeryone gather throw your hands in the air i say yeah can you feel it can you feel it woah yeah woah oh can you feel it can you feel it woah yeah ah on your mark get ready go set go oh that that i like that like that feeling good babe babe shake it from left to the right top to bottom sing it one two three to thе four sing it that that i like that that that i like that babe that that i likе that its like that that yo that that i like that that that i like that babe that that i like that its like that  hey hae you forgotten what i do for a liing that that i like that like that unchanged een as time goes by that that i like that like that i do not care i do not care that i like that that that i like that like that to eeryone I hae longed and longed for eerybody get ready set go I hae gotten better at taking punches those who tried hit me with words must feel uncomfortable those who prayed for me to fail as you wished gather them together and smack them lightly thats enough oh oh oh just shut up and lets play ohohoh min yoongi and park jaesang  can you feel it can you feel it woah yeah woah oh can you feel it can you feel it woah yeah ah on your mark get ready go set go oh that that i like that like that feeling good babe babe shake it from left to the right top to bottom sing it one two three to the four sing it that that i like that that that i like that babe that that i like that its like that that yo that that i like that that that i like that babe that that i like that its like that that yo  do what you wanna ah yeah yeah say what you wanna ah yeah yeah do what you wanna say what that that i like that babe do what you wanna ah yeah yeah say what you wanna ahyeahyeah do what you wanna say what that that i like that babe that that i like that
15,15,6,Left and Right (Feat. Jung Kook of BTS),BTS,memories follow me left and right i can feel you oer here i can feel you oer here you take up eery corner of my mind whatcha gonna do now eer since the daday you went away no i do not know how how to erase your body from out my brain whatcha gonna do now maybe i should just focus on me instead but all i think about are the nights we were tangled up in your bed oh no oh no oh no oh no you are going round in circles got you stuck up in my head yeah memories follow me left and right i can feel you oer here i can feel you oer hеre you take up eеry corner of my mind your loe stays with me day and night i can feel you oer here i can feel you oer here you take up eery corner of my mind whatcha gonna do now eer since the daday you went away someone tell me how how much more do i gotta drink for the pain whatcha gonna do now you do things to me that i just cant forget now all i think about are the nights we were tangled up in your bed  oh no oh no oh no oh no youre going round in circles got you stuck up in my head yeah memories follow me left and right i can feel you oer here i can feel you oer here you take up eery corner of my mind of my mind your loe stays with me day and night i can feel you oer here i can feel you oer here you take up eery corner of my mind whatcha gonna do now did you know you are the one that got away and een now baby I am still not okay did you know that my dreams they are all the same eery time i close my eyes memories follow me left and right i can feel you oer here i can feel you oer here you take up eery corner of my mind whatcha gonna do now your loe stays with me day and night i can feel you oer here i can feel you oer here you take up eery corner of my mind whatcha gonna do now oooh i can feel you oer here i can feel you oer here you take up eery corner of my mind whatcha gonna do now
16,16,13,Mikrokosmos,BTS,twinkling starlight building with blinking light were shining brightly in our own rooms in our own stars one light is ambition some light is rebellion peoples lights all are precious this dark night dont be lonely like stars we shine do not disappear cause you are a big existence let us shine perhaps the reason this night looks so beautiful is not because of these stars or lights but us you got me i dream while looking at you i got you inside those pitch black nights the lights we saw in each another were saying the same thing starlight that shines brighter in the darkest night starlight that shines brighter in the darkest night the deeper the night the brighter the starlight one history in one person one star in one person 7 billion different worlds shining with 7 billion lights 7 billion lies the citys night iew is possibly another citys night our own dreams let us shine you shine brighter than anyone else one  and  perhaps the reason this night looks so beautiful is not because of these stars or lights but us  you got me i dream while looking at you i got you inside those pitch black nights the lights we saw in each another were saying the same thing starlight that shines brighter in the darkest night starlight that shines brighter in the darkest night the deeper the night the brighter the starlight   and  city lights this citys star i remember the night sky i saw when i was young where people are light where people are stars in this place full of where people are lights people are lights we shinin  you got me i breathe while looking at you i got you inside those pitch black nights bts shine dream smile oh let us light up the night we shine in our own ways shine dream smile oh let us light up the night we shine just the way we are tonight na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na
17,17,14,The Truth Untold,BTS, in this garden full of flowers of loneliness full of thorns i hung myself on this sand castle  what your name is if you hae someplace to go oh could you tell me i saw the you who snuck in this garden  and i know that your wath is all real the hand that picks blue flowers i want to hold it  but its my fate dont smile on me light on me since i cant get closer to you i dont hae a name to call  you know that i cant show you me gie you me i cant show you my pathetic self once again i put on a mask and go to meet you but i still want you  the flower that resembles you that bloomed in the garden of loneliness i wanted to gie it to you after taking off this stupid mask  but i know i can neer do that i hae to hide because i am ugly  im afraid im pathetic im so afraid in case you too leae me in the end once again i put on a mask and go to meet you  the only thing i can do in this garden in this world is to grow flowers that resemble the pretty you and to breathe as the me that you knew but i still want you i still want you  maybe at that time just a little just this much if i had mustered the courage and stood in front of you would eerything hae changed now  im crying in this sand castle where i was left alone thats disappeared thats broken down while looking at the broken mask and i still want you  but i still want you but i still want you  and i still want you
18,18,21,Answer: Love Myself,BTS, im opening my eyes in the darkness when my heartbeat sounds unfamiliar  im looking at you in the mirror the fearridden eyes asking the question  loing myself might be harder than loing someone else lets admit it the standards i made is more strict for you the thick tree rings in your life its part of you its you now lets forgie ourseles our lies are long trust yourself when in a maze when winter passes spring always comes  from the eyes of the cold night i try to hide myself as i keep tossing and turning  maybe i fell in order to take place of those countless stars the target of the thousands of bright arrows is me alone  youe shown me i hae reasons i should loe myself ill answer with my breath my path  the me of yesterday the me of today the me of tomorrow im learning how to loe myself with no exceptions its all me  maybe theres no answer maybe this isnt the answer either its just that loing myself doesnt require anyone elses peission im looking for myself again but i dont wanna die anymore me who used to be sad me who used to be hurt itll make me more beautiful  yes i hae that beauty knowing that is going on the path to loing myself its what i need the most im walking for myself its an action needed for me my attitude towards myself thats the happiness i need for me ill show you what i got im not afraid because its me loe myself  from the ery beginning to the ery end theres only one answer  why do you keep trying to hide under your mask een all the scars from your mistakes make up your constellation  youe shown me i hae reasons i should loe myself ill answer with my breath my path  inside of me  theres still that awkward part of me but  youe shown me i hae reasons i should loe myself im learning how to loe myself ill answer with my breath my path  the me of yesterday the me of today the me of tomorrow im learning how to loe myself with no exceptions its all me
19,19,23,Save Me,BTS, i want to breathe i hate this night i want to wake up i hate this dream im trapped inside of myself and im dead dont wanna be lonely just wanna be yours  why is it so dark where youre not here its dangerous how wrecked i am sae me because i cant get a grip on myself  listen to my heartbeat it calls you wheneer it wants to  because within this pitch black darkness you are shining so brightly  gie me your hand sae me sae me i need your loe before i fall fall  gie me your hand sae me sae me i need your loe before i fall fall  gie me your hand sae me sae me  gie me your hand sae me sae me  sae me sae me  today the moon shines brighter on the blank spot in my memories it swallowed me this lunatic please sae me tonight please sae me tonight please sae me tonight within this childish madness you will sae me tonight  i knew that your salation is a part of my life and the only helping hand that will embrase my pain the best of me youre the only thing i hae please raise your oice so that i can laugh again play on  listen to my heartbeat it calls you wheneer it wants to  because within this pitch black darkness you are shining so brightly  gie me your hand sae me sae me i need your loe before i fall fall  gie me your hand sae me sae me i need your loe before i fall fall  gie me your hand sae me sae me  gie me your hand sae me sae me rap monster thank you for letting me be me for helping me fly for giing me wings for straightening me out for waking me from being suffocated for waking me from a dream which was all i was liing in when i think of you the sun comes out so i gae my sadness to the dog thank you for being us  gie me your hand sae me sae me i need your loe before i fall fall  gie me your hand sae me sae me i need your loe before i fall fall
20,20,24,Dynamite (Holiday Remix),BTS, cos ah ah im in the stars tonight so watch me bring the fire and set the night alight  shoes on get up in the morn cup of milk lets rock and roll king kong kick the drum rolling on like a rolling stone sing song when im walking home jump up to the top lebron dingdong call me on my phone ice tea and a game of ping pong bang   this is getting heay can you hear the bass boom im ready woohoo life is sweet as honey yeah this beat chaching like money huh disco oerload im into that im good to go im diamond you know i glow up hey so lets go   cos ah ah im in the stars tonight so watch me bring the fire and set the night alight hey shining through the city with a little funk and soul so ima light it up like dynamite woahohoh   bring a friend join the crowd whoeer wanna come along word up talk the talk just moe like we off the wall day or night the skys alight so we dance to the break of dawn hey ladies and gentlemen i got the medicine so you should keep ya eyes on the ball huh    this is getting heay can you hear the bass boom im ready woohoo life is sweet as honey yeah this beat chaching like money huh disco oerload im into that im good to go im diamond you know i glow up lets go   cos ah ah im in the stars tonight so watch me bring the fire and set the night alight hey shining through the city with a little funk and soul so ima light it up like dynamite woahohoh    dynnanana nananana nanana life is dynamite dynnanana nananana nanana life is dynamite shining through the city with a little funk and soul so ima light it up like dynamite woahohoh     dynnanana nana nana ayy dynnanana nana nana ayy dynnanana nana nana ayy light it up like dynamite dynnanana nana nana ayy dynnanana nana nana ayy dynnanana nana nana ayy light it up like dynamite    cos ah ah im in the stars tonight so watch me bring the fire and set the night alight shining through the city with a little funk and soul so ima light it up like dynamite this is ahhh cos ah ah im in the stars tonight so watch me bring the fire and set the night alight set the night alight ohhh shining through the city with a little funk and soul so ima light it up like dynamite woahohoh light it up like dynamite    dynnanana nananana nanana life is dynamite life is dynamite dynnanana nananana nanana life is dynamite ohhh shining through the city with a little funk and soul so ima light it up like dynamite woahohoh
